dataType,category,identifier,metric,period,value,unit
sales,total,promotional-spend,cost,2025-06,32,dollars
sales,total,GCOS,calculated,2025-06,12.47,percentage
sales,total,profit-margin,calculated,2025-06,9.08,percentage
marketing,bacon-jam,segment,sales,2025-06,5427,dollars
marketing,bacon-jam,segment,advertising-spend,2025-06,601,dollars
marketing,bacon-jam,segment,GCOS,2025-06,11.63,percentage
marketing,bacon-jam,segment,share-of-voice,2025-06,8.53,percentage
marketing,bacon-jam,segment,segment-share,2025-06,8.50,percentage
marketing,tomato-jam,segment,sales,2025-06,774,dollars
marketing,tomato-jam,segment,advertising-spend,2025-06,107,dollars
marketing,tomato-jam,segment,GCOS,2025-06,14.03,percentage
marketing,tomato-jam,segment,share-of-voice,2025-06,4.51,percentage
marketing,tomato-jam,segment,segment-share,2025-06,14.15,percentage
marketing,seasoning,segment,sales,2025-06,225,dollars
marketing,seasoning,segment,advertising-spend,2025-06,62,dollars
marketing,seasoning,segment,GCOS,2025-06,27.43,percentage
marketing,seasoning,segment,share-of-voice,2025-06,0.62,percentage
marketing,seasoning,segment,segment-share,2025-06,0.58,percentage
sales,total,actual,revenue,2025-07 MTD,1437,dollars
sales,total,forecast,revenue,2025-07 MTD,8308,dollars
sales,total,gross-sales,revenue,2025-07 MTD,1464,dollars
sales,total,units-sold,units,2025-07 MTD,95,units
sales,total,COGS,cost,2025-07 MTD,381,dollars
sales,total,referall-and-account,cost,2025-07 MTD,138,dollars
sales,total,fulfillment,cost,2025-07 MTD,516,dollars
sales,total,storage,cost,2025-07 MTD,11,dollars
sales,total,inbound-shipping,cost,2025-07 MTD,61,dollars
sales,total,amma-partners,cost,2025-07 MTD,72,dollars
sales,total,advertising-spend,cost,2025-07 MTD,249,dollars
sales,total,promotional-spend,cost,2025-07 MTD,27,dollars
sales,total,GCOS,calculated,2025-07 MTD,18.83,percentage
sales,total,profit-margin,calculated,2025-07 MTD,0.64,percentage
marketing,bacon-jam,segment,sales,2025-07 MTD,1039,dollars
marketing,bacon-jam,segment,advertising-spend,2025-07 MTD,179,dollars
marketing,bacon-jam,segment,GCOS,2025-07 MTD,27.06,percentage
marketing,bacon-jam,segment,share-of-voice,2025-07 MTD,7.45,percentage
marketing,bacon-jam,segment,segment-share,2025-07 MTD,9.09,percentage
marketing,tomato-jam,segment,sales,2025-07 MTD,264,dollars
marketing,tomato-jam,segment,advertising-spend,2025-07 MTD,50,dollars
marketing,tomato-jam,segment,GCOS,2025-07 MTD,16.14,percentage
marketing,tomato-jam,segment,share-of-voice,2025-07 MTD,4.11,percentage
marketing,tomato-jam,segment,segment-share,2025-07 MTD,8.75,percentage
marketing,seasoning,segment,sales,2025-07 MTD,135,dollars
marketing,seasoning,segment,advertising-spend,2025-07 MTD,47,dollars
marketing,seasoning,segment,GCOS,2025-07 MTD,12.30,percentage
marketing,seasoning,segment,share-of-voice,2025-07 MTD,2.28,percentage
marketing,seasoning,segment,segment-share,2025-07 MTD,0.57,percentage
